gradcam_index,pilot_index,image_id,class_name,true_label,true_class_id,source_type,corruption_type,severity,predicted_label,predicted_class_id,prediction_confidence,prediction_matches_target,relative_image_path,source_path,relative_heatmap_path,heatmap_path
0,420,33,001.Black_footed_Albatross,0,1,clean,clean,0,0,1,0.2217462956905365,1,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\001.Black_footed_Albatross\Black_Footed_Albatross_0064_796101.jpg,clean\image_33.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_33.png
1,46,59,001.Black_footed_Albatross,0,1,clean,clean,0,0,1,0.9198014140129089,1,001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\001.Black_footed_Albatross\Black_Footed_Albatross_0058_796074.jpg,clean\image_59.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_59.png
2,156,65,002.Laysan_Albatross,1,2,clean,clean,0,1,2,0.9193965196609497,1,002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\002.Laysan_Albatross\Laysan_Albatross_0070_788.jpg,clean\image_65.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_65.png
3,34,107,002.Laysan_Albatross,1,2,clean,clean,0,1,2,0.9608888030052185,1,002.Laysan_Albatross/Laysan_Albatross_0004_930.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\002.Laysan_Albatross\Laysan_Albatross_0004_930.jpg,clean\image_107.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_107.png
4,352,147,003.Sooty_Albatross,2,3,clean,clean,0,2,3,0.8735619187355042,1,003.Sooty_Albatross/Sooty_Albatross_0046_1211.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\003.Sooty_Albatross\Sooty_Albatross_0046_1211.jpg,clean\image_147.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_147.png
5,233,167,003.Sooty_Albatross,2,3,clean,clean,0,2,3,0.5904083251953125,1,003.Sooty_Albatross/Sooty_Albatross_0051_796374.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\003.Sooty_Albatross\Sooty_Albatross_0051_796374.jpg,clean\image_167.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_167.png
6,150,171,003.Sooty_Albatross,2,3,clean,clean,0,2,3,0.9237881302833557,1,003.Sooty_Albatross/Sooty_Albatross_0036_796387.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\003.Sooty_Albatross\Sooty_Albatross_0036_796387.jpg,clean\image_171.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_171.png
7,382,180,004.Groove_billed_Ani,3,4,clean,clean,0,3,4,0.8718301057815552,1,004.Groove_billed_Ani/Groove_Billed_Ani_0094_1540.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\004.Groove_billed_Ani\Groove_Billed_Ani_0094_1540.jpg,clean\image_180.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_180.png
8,167,185,004.Groove_billed_Ani,3,4,clean,clean,0,3,4,0.6455892324447632,1,004.Groove_billed_Ani/Groove_Billed_Ani_0037_1560.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\004.Groove_billed_Ani\Groove_Billed_Ani_0037_1560.jpg,clean\image_185.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_185.png
9,10,211,004.Groove_billed_Ani,3,4,clean,clean,0,3,4,0.8255031704902649,1,004.Groove_billed_Ani/Groove_Billed_Ani_0101_1700.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\004.Groove_billed_Ani\Groove_Billed_Ani_0101_1700.jpg,clean\image_211.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_211.png
