pilot_index,image_id,class_name,true_label,true_class_id,corruption_type,severity,pearson_correlation,spearman_correlation,cosine_similarity,ssim,top20_iou,centroid_displacement,clean_object_mass,corrupted_object_mass,object_mass_change,object_mass_drop,clean_pointing_game,corrupted_pointing_game,pointing_game_preserved,clean_salient_object_iou,corrupted_salient_object_iou,salient_object_iou_change,clean_heatmap_path,corrupted_heatmap_path
420,33,001.Black_footed_Albatross,0,1,motion_blur,1,0.8746706247329712,0.9245767289126345,0.8966150283813477,0.8646317469401354,0.7444811402746393,0.019962522565763138,0.35958299343162436,0.3855693969041465,0.025986403472522124,-0.025986403472522124,1,1,1,0.19295799198187205,0.17560835957629545,-0.017349632405576604,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_33.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\motion_blur\severity_1\image_33.png
46,59,001.Black_footed_Albatross,0,1,brightness,1,0.9996404647827148,0.989510003277829,0.9997240900993347,0.9971047508695011,0.9800729999013514,0.0020988010231257803,0.4807637216259412,0.4794060213123277,-0.0013577003136135413,0.0013577003136135413,0,0,0,0.33484390735146025,0.33139618309657054,-0.003447724254889706,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_59.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\brightness\severity_1\image_59.png
46,59,001.Black_footed_Albatross,0,1,brightness,3,0.997439444065094,0.9737899662663917,0.9980375170707703,0.9872525394070721,0.9472254559565386,0.005400166179843948,0.4807637216259412,0.4817831725572798,0.0010194509313385947,-0.0010194509313385947,0,0,0,0.33484390735146025,0.3304416403785489,-0.004402266972911351,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_59.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\brightness\severity_3\image_59.png
46,59,001.Black_footed_Albatross,0,1,brightness,5,0.9951353669166565,0.9582523041392306,0.9962489604949951,0.9792738047342752,0.939136315331852,0.006343152948736152,0.4807637216259412,0.4877708026717796,0.007007081045838359,-0.007007081045838359,0,0,0,0.33484390735146025,0.3375378405650858,0.0026939332136255434,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_59.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\brightness\severity_5\image_59.png
46,59,001.Black_footed_Albatross,0,1,gaussian_noise,1,0.9950293302536011,0.959446081943263,0.9961711764335632,0.9755076050141295,0.923895332119237,0.010182093289715569,0.4807637216259412,0.4823291641776851,0.0015654425517439008,-0.0015654425517439008,0,0,0,0.33484390735146025,0.3286317748979738,-0.006212132453486452,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_59.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\gaussian_noise\severity_1\image_59.png
46,59,001.Black_footed_Albatross,0,1,gaussian_noise,3,0.8488806486129761,0.6683675107729845,0.879348635673523,0.7252448083510245,0.6194933032112312,0.05620371649344021,0.4807637216259412,0.4798070345878533,-0.0009566870380879333,0.0009566870380879333,0,1,0,0.33484390735146025,0.3034347123691789,-0.03140919498228134,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_59.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\gaussian_noise\severity_3\image_59.png
46,59,001.Black_footed_Albatross,0,1,motion_blur,1,0.9837268590927124,0.9834502747936984,0.9874193072319031,0.9331740305027109,0.8457011494252874,0.022119129837578747,0.4807637216259412,0.4609162181113171,-0.01984750351462411,0.01984750351462411,0,0,0,0.33484390735146025,0.30922816424439115,-0.0256157431070691,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_59.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\motion_blur\severity_1\image_59.png
46,59,001.Black_footed_Albatross,0,1,motion_blur,3,0.9773929715156555,0.9348906116513257,0.982428789138794,0.9100188650777169,0.8482504604051565,0.026867330542641902,0.4807637216259412,0.4452600050956875,-0.03550371653025369,0.03550371653025369,0,0,0,0.33484390735146025,0.2961514283718656,-0.03869247897959466,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_59.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\motion_blur\severity_3\image_59.png
156,65,002.Laysan_Albatross,1,2,brightness,1,0.9970768690109253,0.9699932730733966,0.9977636337280273,0.9691769738788457,0.9395110638709054,0.011270367021168631,0.9360030104055963,0.920231030001665,-0.01577198040393135,0.01577198040393135,1,1,1,0.2493768203405841,0.24178489463801378,-0.007591925702570307,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_65.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\brightness\severity_1\image_65.png
156,65,002.Laysan_Albatross,1,2,brightness,3,0.98017418384552,0.9703529296027542,0.9849621653556824,0.9342657750180511,0.8695976154992549,0.023462393212281062,0.9360030104055963,0.92178321285661,-0.01421979754898628,0.01421979754898628,1,1,1,0.2493768203405841,0.24049082951229678,-0.00888599082828731,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_65.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\brightness\severity_3\image_65.png
156,65,002.Laysan_Albatross,1,2,brightness,5,0.9754703640937805,0.9352630622827891,0.9814175963401794,0.8879445422415174,0.8343995613233413,0.024419659433610234,0.9360030104055963,0.9254536587491705,-0.010549351656425787,0.010549351656425787,1,1,1,0.2493768203405841,0.24454376747954729,-0.004833052861036802,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_65.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\brightness\severity_5\image_65.png
156,65,002.Laysan_Albatross,1,2,gaussian_noise,1,0.8485637903213501,0.8101392697553812,0.8822847604751587,0.6686531913057361,0.5418651098479029,0.06674341924841393,0.9360030104055963,0.8559757954570058,-0.08002721494859055,0.08002721494859055,1,1,1,0.2493768203405841,0.21606435959647555,-0.03331246074410854,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_65.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\gaussian_noise\severity_1\image_65.png
156,65,002.Laysan_Albatross,1,2,gaussian_noise,3,0.10702577233314514,0.3089180638290322,0.23319080471992493,0.47810932846791004,0.24919093851132687,0.17656009415810386,0.9360030104055963,0.9983311623293011,0.06232815192370478,-0.06232815192370478,1,1,1,0.2493768203405841,0.2646074577711675,0.015230637430583421,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_65.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\gaussian_noise\severity_3\image_65.png
156,65,002.Laysan_Albatross,1,2,motion_blur,1,0.9929008483886719,0.9428093635868391,0.9945961833000183,0.9379715939584576,0.9141712759870303,0.005206325341212412,0.9360030104055963,0.9462353114832929,0.01023230107769657,-0.01023230107769657,1,1,1,0.2493768203405841,0.2527955376641145,0.0034187173235304125,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_65.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\motion_blur\severity_1\image_65.png
156,65,002.Laysan_Albatross,1,2,motion_blur,3,0.9238914251327515,0.8375436502723432,0.9393717646598816,0.8569424448820064,0.7478230581678857,0.04327155522920626,0.9360030104055963,0.9858129986964697,0.04980998829087335,-0.04980998829087335,1,1,1,0.2493768203405841,0.2659860147297333,0.016609194389149234,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_65.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\motion_blur\severity_3\image_65.png
156,65,002.Laysan_Albatross,1,2,motion_blur,5,0.1909867823123932,0.14862650959267137,0.3442833125591278,0.38942746407546197,0.19604337981170303,0.15761540838672497,0.9360030104055963,0.9824793272782685,0.046476316872672174,-0.046476316872672174,1,1,1,0.2493768203405841,0.25451192201291,0.00513510167232592,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_65.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\motion_blur\severity_5\image_65.png
34,107,002.Laysan_Albatross,1,2,brightness,1,0.9971681237220764,0.9879431381586662,0.9978378415107727,0.9805632505348592,0.9203980099502488,0.009782813459396252,0.7699527779352172,0.753310591111918,-0.01664218682329921,0.01664218682329921,1,1,1,0.3876590897835884,0.369483407458091,-0.018175682325497378,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_107.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\brightness\severity_1\image_107.png
34,107,002.Laysan_Albatross,1,2,brightness,3,0.9902973175048828,0.9925200746372428,0.9924485683441162,0.9510012912280922,0.8590349171066037,0.017038941898785773,0.7699527779352172,0.7428089022846676,-0.027143875650549654,0.027143875650549654,1,1,1,0.3876590897835884,0.3572120507604379,-0.03044703902315049,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_107.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\brightness\severity_3\image_107.png
34,107,002.Laysan_Albatross,1,2,brightness,5,0.9661430716514587,0.9463340327925324,0.9719321727752686,0.8621838211059425,0.7943858394421598,0.02969196360513971,0.7699527779352172,0.7226609781055398,-0.04729179982967746,0.04729179982967746,1,1,1,0.3876590897835884,0.33598741298750834,-0.051671676796080035,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_107.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\brightness\severity_5\image_107.png
34,107,002.Laysan_Albatross,1,2,gaussian_noise,1,0.9772101640701294,0.9487429167639174,0.9816594123840332,0.8976896589894455,0.8060104372863056,0.026793021518717524,0.7699527779352172,0.74137598876866,-0.02857678916655726,0.02857678916655726,1,1,1,0.3876590897835884,0.34878459687123947,-0.0388744929123489,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_107.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\gaussian_noise\severity_1\image_107.png
34,107,002.Laysan_Albatross,1,2,gaussian_noise,3,0.8676329851150513,0.7384944974928913,0.8938100934028625,0.7807806259517459,0.6170144203657456,0.06295305548817347,0.7699527779352172,0.6710717617193772,-0.09888101621584,0.09888101621584,1,1,1,0.3876590897835884,0.28992312295723427,-0.0977359668263541,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_107.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\gaussian_noise\severity_3\image_107.png
34,107,002.Laysan_Albatross,1,2,gaussian_noise,5,0.32904118299484253,0.34439460884427503,0.44217127561569214,0.5514858408339307,0.2964733238599664,0.13404663161524902,0.7699527779352172,0.49683116109066544,-0.2731216168445518,0.2731216168445518,1,1,1,0.3876590897835884,0.2263019693654267,-0.16135712041816166,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_107.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\gaussian_noise\severity_5\image_107.png
34,107,002.Laysan_Albatross,1,2,motion_blur,1,0.9956762790679932,0.9749581831976576,0.996485710144043,0.9700676877063821,0.9455268004264805,0.0022825490534265852,0.7699527779352172,0.7830100856713087,0.013057307736091484,-0.013057307736091484,1,1,1,0.3876590897835884,0.3889659958362248,0.0013069060526364473,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_107.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\motion_blur\severity_1\image_107.png
34,107,002.Laysan_Albatross,1,2,motion_blur,3,0.22970063984394073,0.3185606155833456,0.3249402940273285,0.5377792891677246,0.1801505174035748,0.1690044435283926,0.7699527779352172,0.9733413960945705,0.20338861815935327,-0.20338861815935327,1,1,1,0.3876590897835884,0.3851895793168224,-0.0024695104667659673,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_107.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\motion_blur\severity_3\image_107.png
34,107,002.Laysan_Albatross,1,2,motion_blur,5,-0.1655610203742981,-0.1949023098654338,0.030761392787098885,0.37940210202899033,0.01867641088103938,0.09500625966996833,0.7699527779352172,0.2593535715492101,-0.5105992063860071,0.5105992063860071,1,0,0,0.3876590897835884,0.11282764098490866,-0.2748314487986797,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_107.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\motion_blur\severity_5\image_107.png
352,147,003.Sooty_Albatross,2,3,brightness,1,0.9995994567871094,0.9806186761058368,0.9996873140335083,0.9958752046359046,0.9830073108081406,0.0013401851700421746,0.9834187502491013,0.983378698398076,-4.0051851025291185e-05,4.0051851025291185e-05,1,1,1,0.314528569179915,0.314859715968133,0.00033114678821799526,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_147.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\corrupted\brightness\severity_1\image_147.png
