pilot_index,image_id,class_name,true_label,true_class_id,clean_predicted_label,clean_predicted_class_id,clean_confidence,corruption_type,severity,random_seed,original_width,original_height,relative_image_path,original_path,corrupted_path
0,8795,150.Sage_Thrasher,149,150,149,150,0.8623179197311401,gaussian_noise,1,1714683891,500,375,150.Sage_Thrasher/Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\150.Sage_Thrasher\Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\corrupted\pilot\gaussian_noise\severity_1\150.Sage_Thrasher\8795_Sage_Thrasher_0057_155488.jpg
0,8795,150.Sage_Thrasher,149,150,149,150,0.8623179197311401,gaussian_noise,3,2396859721,500,375,150.Sage_Thrasher/Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\150.Sage_Thrasher\Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\corrupted\pilot\gaussian_noise\severity_3\150.Sage_Thrasher\8795_Sage_Thrasher_0057_155488.jpg
0,8795,150.Sage_Thrasher,149,150,149,150,0.8623179197311401,gaussian_noise,5,2015993135,500,375,150.Sage_Thrasher/Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\150.Sage_Thrasher\Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\corrupted\pilot\gaussian_noise\severity_5\150.Sage_Thrasher\8795_Sage_Thrasher_0057_155488.jpg
0,8795,150.Sage_Thrasher,149,150,149,150,0.8623179197311401,motion_blur,1,716102116,500,375,150.Sage_Thrasher/Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\150.Sage_Thrasher\Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\corrupted\pilot\motion_blur\severity_1\150.Sage_Thrasher\8795_Sage_Thrasher_0057_155488.jpg
0,8795,150.Sage_Thrasher,149,150,149,150,0.8623179197311401,motion_blur,3,3056069402,500,375,150.Sage_Thrasher/Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\150.Sage_Thrasher\Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\corrupted\pilot\motion_blur\severity_3\150.Sage_Thrasher\8795_Sage_Thrasher_0057_155488.jpg
0,8795,150.Sage_Thrasher,149,150,149,150,0.8623179197311401,motion_blur,5,1670802222,500,375,150.Sage_Thrasher/Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\150.Sage_Thrasher\Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\corrupted\pilot\motion_blur\severity_5\150.Sage_Thrasher\8795_Sage_Thrasher_0057_155488.jpg
0,8795,150.Sage_Thrasher,149,150,149,150,0.8623179197311401,brightness,1,1759130748,500,375,150.Sage_Thrasher/Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\150.Sage_Thrasher\Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\corrupted\pilot\brightness\severity_1\150.Sage_Thrasher\8795_Sage_Thrasher_0057_155488.jpg
0,8795,150.Sage_Thrasher,149,150,149,150,0.8623179197311401,brightness,3,3048969129,500,375,150.Sage_Thrasher/Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\150.Sage_Thrasher\Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\corrupted\pilot\brightness\severity_3\150.Sage_Thrasher\8795_Sage_Thrasher_0057_155488.jpg
0,8795,150.Sage_Thrasher,149,150,149,150,0.8623179197311401,brightness,5,488726864,500,375,150.Sage_Thrasher/Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\150.Sage_Thrasher\Sage_Thrasher_0057_155488.jpg,D:\Demo Python\visual_explanation_robustness\data\corrupted\pilot\brightness\severity_5\150.Sage_Thrasher\8795_Sage_Thrasher_0057_155488.jpg
1,1786,032.Mangrove_Cuckoo,31,32,31,32,0.8459853529930115,gaussian_noise,1,3477607690,500,333,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0009_26354.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\032.Mangrove_Cuckoo\Mangrove_Cuckoo_0009_26354.jpg,D:\Demo Python\visual_explanation_robustness\data\corrupted\pilot\gaussian_noise\severity_1\032.Mangrove_Cuckoo\1786_Mangrove_Cuckoo_0009_26354.jpg
